Marca,Modelo,Precio_Num
Apple,iPhone 17 Pro Max,5000.0
Apple,iPhone 17,4400.0
Apple,iPhone 17 Pro,4299.0
Apple,iPhone 16 Pro Max,3500.0
Samsung,Galaxy S25 Ultra,3166.6666666666665
Apple,iPhone 15 Pro Max,2684.75
Samsung,Galaxy S24 Ultra,2600.0
Apple,iPhone 14 Pro Max,2200.0
Apple,iPhone 13 Pro Max,2150.0
Apple,iPhone 15 Pro,2050.0
Apple,iPhone 14 Pro,1800.0
Apple,iPhone,1547.1052631578948
Apple,iPhone 14 Plus,1475.0
Samsung,Galaxy S,1424.75
ZTE,Nubia Flip,1350.0
Apple,iPhone 13,1251.3636363636363
Xiaomi,Xiaomi 14T,1250.0
Samsung,Galaxy A,685.4545454545455
Honor,Honor,680.0
Apple,iPhone 11,656.6666666666666
Oppo,Oppo Reno,600.0
Xiaomi,Redmi Note 14 Pro,490.0
Honor,Honor X9c,480.0
Xiaomi,Redmi Note 13 Pro,450.0
Oppo,Oppo Find,450.0
Vivo,Vivo V,420.0
Vivo,Vivo Y,350.0
Huawei,Huawei,333.3333333333333
Honor,Honor X5,325.0
Motorola,Motorola Moto G,300.0
Oppo,Oppo A5,300.0
Oppo,Oppo A,250.0
Xiaomi,redmi,243.6
Xiaomi,Xiaomi,215.0
Motorola,Motorola,183.16666666666666
Xiaomi,Redmi 13C,170.0
ZTE,ZTE Blade,140.0
Oppo,Oppo,130.0
Otro/Genérico,Otro,64.5
